transactions_id;sale_date;sale_time;customer_id;gender;age;category;quantiy;price_per_unit;cogs;total_sale
69;14/11/2023;22:44:00;1;Female;26;Beauty;3;25;8,5;75
79;13/04/2023;10:15:00;1;Female;26;Beauty;1;300;96;300
98;09/04/2023;19:41:00;1;Female;26;Beauty;2;50;19,5;100
106;17/05/2023;18:58:00;1;Female;26;Clothing;1;50;15;50
122;01/12/2023;19:02:00;1;Female;26;Electronics;4;30;35,4;120
129;17/04/2023;17:42:00;1;Female;26;Beauty;2;300;75;600
239;19/09/2022;19:34:00;1;Female;26;Electronics;3;500;165;1500
242;01/10/2023;18:28:00;1;Female;26;Clothing;1;25;8;25
252;05/05/2023;17:37:00;1;Female;26;Electronics;1;300;84;300
273;26/09/2023;20:24:00;1;Female;26;Beauty;1;50;14,5;50
314;15/10/2023;07:37:00;1;Female;26;Clothing;4;30;7,8;120
337;22/08/2023;17:56:00;1;Female;26;Clothing;1;500;275;500
414;10/05/2023;19:40:00;1;Female;26;Beauty;4;25;9,75;100
473;25/09/2022;10:09:00;1;Female;26;Beauty;1;50;14,5;50
489;31/10/2023;22:01:00;1;Female;26;Electronics;1;30;14,4;30
527;21/04/2023;11:35:00;1;Female;26;Clothing;2;25;11,5;50
642;04/05/2023;21:40:00;1;Female;26;Clothing;4;25;12;100
665;03/10/2023;22:49:00;1;Female;26;Clothing;1;50;19;50
672;17/02/2022;19:44:00;1;Female;26;Beauty;2;50;27,5;100
693;08/06/2023;17:12:00;1;Female;26;Beauty;3;500;270;1500
731;30/09/2023;18:49:00;1;Female;26;Clothing;4;500;165;2000
744;23/05/2023;18:02:00;1;Female;26;Electronics;1;25;6,5;25
755;27/11/2023;20:07:00;1;Female;26;Clothing;3;25;6,75;75
758;23/04/2023;18:30:00;1;Female;26;Clothing;4;25;6,75;100
793;27/05/2022;10:53:00;1;Female;26;Beauty;1;30;14,7;30
820;17/02/2023;22:49:00;1;Female;26;Electronics;4;50;24;200
838;30/09/2023;21:20:00;1;Female;26;Electronics;2;300;153;600
884;18/02/2023;20:31:00;1;Female;26;Clothing;2;30;7,5;60
892;13/09/2023;11:39:00;1;Female;26;Electronics;1;50;24;50
893;29/04/2023;18:52:00;1;Female;26;Electronics;1;50;17;50
930;12/01/2023;17:54:00;1;Female;26;Clothing;4;50;26;200
953;02/07/2023;17:58:00;1;Female;26;Beauty;3;30;12,6;90
987;08/11/2023;18:45:00;1;Female;26;Clothing;3;300;165;900
